branch,full_sha,last_commit_date,merged_to_main,ahead_of_main,on_origin,has_worktree,open_pr,owner_lane,proposed_disposition,preservation
claude/landing-page-refresh,f7f3a5144d65c72a8b63d73fb50f6c1ad9b01188,2026-06-04,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/landing-tailwind-v4-fix,4c5ebc50227107a2c3735f6181f9988d64c1ca8b,2026-06-04,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/learning-c1-c6-prompt-source-accuracy,dfc5c1c0e3dc895ca8770ba7a03b71efeec9d493,2026-06-05,no,1,no,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-af20cebb7272acc39,-,Product-Platform,"PRESERVE(bundle)-then-review — LOCAL-ONLY, 1 unique commit(s) not on any remote",git bundle REQUIRED
claude/live-eval-capture,6a445872a9aaab2be1ad713765794f29c4bfdfa8,2026-06-08,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/log-orphaned-events,fdf8c8d27c0c5c60412baf3c8a9422389f9a4cf5,2026-06-01,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/loop-signal-producer,25ecf86efd144985b15b4a2b1778bed159c8fb12,2026-05-22,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/ontology-mesh-descendants,c78eb247b4e3b9d4d16ac80db56163c0ac60a9e0,2026-06-08,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/chat-trial-totals,34f60f54a76805dc1ab0d376373e200ee8148b95,2026-06-16,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/ci-deps-pin,1f4dccc6ac09a05237f517f7b3c67e75bde0d470,2026-06-14,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/closed-world-guard-rebased,5349adb526476578d5efa4d9fb7f93169f6c4ffe,2026-06-13,no,5,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/closed-world-guard-synced,731c3ee0055e20047dabb30fa6fed1bc79769381,2026-06-13,no,6,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/coord-protocol,d0fa62a0acd0d03e8329e6206cd999922485073d,2026-06-15,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/coverage-quality,78378a1a0bc0848383e3a926847a96c7c11c2de8,2026-06-15,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/coverage-source-state,33c464970e6d286f33c1240ec20d70905db016b3,2026-06-14,no,2,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/datahub-api,726ec713d0e861b139bc6bd669eb72611120ac91,2026-06-13,no,3,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/datahub-fair,3c1e2668769355008aa916921d0ef1cbff37dd0d,2026-06-13,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/deterministic-numeric-attribution,1be091fdc5b826e45445fbabb6282f59be856602,2026-06-15,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae5ab16f60b6b49ff,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/entity-fanout-collapse,c390122e6a6ad1c0a476156f8cf7078814975b0a,2026-06-13,no,2,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/eval-tier-clarity,fab5f3c54cd3a1f72ca8dc504561f974d1cb45aa,2026-06-14,no,1,yes,C:/Users/kapil/Documents/mz-eval3,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/f2-counts-quality,3515d40ef5794db504e9a7910b8c2c9647cc95dc,2026-06-24,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/f6-unverified-leak,2047ca37ff2d75c562a3e6643f3a05f8230b30d7,2026-06-24,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/f9-year-specific-support,a76863ba7b17997c8e4b7ec5055311c1237e6cb6,2026-06-24,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/g1-named-attribution,65a0a76ee3d06e5ff1dda0a0420293c142a3fdc3,2026-06-13,no,2,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/g1-prose-attribution,63cd75232c3f8d4df20c98bbd159a09b959565c7,2026-06-14,no,1,yes,C:/Users/kapil/Documents/mz-plat,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/g2-coverage-honesty,d3fc569b4694f974c22c6e03fa7bc188106983a3,2026-06-13,no,2,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/graph-path-stale-entity,764f3b2e83600c2342fbc7a9643d47a368f3bc21,2026-06-15,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/grounding-g1-g2,184dc3ce885922f03fee26ab02ddf86e4dde0f08,2026-06-15,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/health-commit-sha,f850ee73c7e1aeb66d462c536e3d0a0ad709d7df,2026-06-15,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/lens-matrix,8e5f678aab7398179da553b00f0ec3316b46fbdc,2026-06-14,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/matrix-grounding,57401dc9f2ac9bb646bbc6e4be74855165b7c33b,2026-06-14,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/post-chat16,ca7d5bb3bcba928c185447f231ad2609d980d4ef,2026-06-16,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/post-merge-main,bb15ef6e41224d41fb4f7f10508928e943f81f44,2026-06-15,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/priv-001-pii-egress-gateway,a66dbcba7337d9e28eef190823b90bb038a3856f,2026-07-15,no,2,yes,C:/Users/kapil/Documents/mz-priv001,#326,Product-Platform,PROTECT — task-owned (handoff/H1); EXCLUDE from cleanup,tracked/on-branch
claude/platform/redteam-board-consolidation,578f7c04ef883c7b0a253e8984d045345e6b4aea,2026-07-12,no,1,yes,C:/Users/kapil/Documents/mz-board-triage,#323,Product-Platform,KEEP — open PR #323 (tip on origin),origin (pushed)
claude/platform/reviewer-handoff-wip,e123b0ffa22fbbaddba2286a6c572f67a8e9fb19,2026-06-15,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/sec-001a-debug-zs-containment,4f23cb25ee0a528795d72110f01199559be68f85,2026-07-12,no,2,yes,C:/Users/kapil/Documents/mz-sec001a,#325,Product-Platform,PROTECT — task-owned (handoff/H1); EXCLUDE from cleanup,tracked/on-branch
claude/platform/sec-001b-route-auth,1e9985d1cd4164f0a6a7396b6893a2ebfc8b6793,2026-07-12,no,1,yes,C:/Users/kapil/Documents/mz-sec001b,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/specialist-eval-runner,74bd878ad5efdd8d543e5e7dbe86ef5014010457,2026-06-13,no,3,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
claude/platform/t10-citation-renumber,f9cc268ed49adf3e84224cdcbdfbb6d6b52b5a5f,2026-06-29,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/t13-doc-wiring,ba5b6767b1d763611713e4eef816741db335c17e,2026-06-30,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/t8-coord-ask,83138a0f89b60933a6535a5671b02515871578a8,2026-06-30,yes,0,yes,C:/Users/kapil/Documents/mz-platform,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/t8-recency-ordering,b1dda661f6f1b6bc08749a39ec9368e28dc32dd7,2026-06-30,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/wire-matrix-frontend,6b31e8582b746318a385151a49c0221ad58f631c,2026-06-15,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/platform/zs-future-state-page,317aa6996bf5109ec6eaa06305a7b92aa7bf208c,2026-06-24,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/rebaseline-conservation-ceilings,f83d879a4ee34c12a2eded54e6d66390971d70d7,2026-06-08,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/run3-summary,48173727668d8ec4f23e9de2a08c2cf8ada3d27c,2026-06-01,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spec-023-decision-briefs,09cff1cfa71276bb852eff35a31476133dbf88dc,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spec-024-evidence-ledger,ef6fffffebdd32f0ddb1b6a44cb30e95fb43e845,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spec-025-game-theory,880fc4f7b678cd27cf576ac1168843e5b13693a0,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spec-026-llm-gateway,912d5453935641810df98384e4a443986ab9c685,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spec-027-source-registry,0bea866991da3ff143a8958e47faf438c88c6ee9,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spec-028-war-game-adversaries,4c004198b6c881169d44c4c7279d2955e16e4279,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spec-029-framing-triggers,fb340e6f9e641a3a26aebbb868bebbc411d786b2,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spec-031-materiality,c12b905f14949e4f7e3079fa8ff0bcf9cbdba001,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spec-032-learning-service,17bd96288ae5e9059485d5f48c4a4df6f19dd75b,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spec-033-counter-rec,2a5a5b80c5f5445f8a582ad1d795ae9a5ec87c39,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spec-034-decision-signing,e23ccb31b7fa424738287cb86cd28ecbdccf04fe,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spec-035-ask-graph,25343aaad3c6badff8f10a7051b49dbd03ab1eaf,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/spine-data-quality-and-writer-fix,578a2b534c9c8787fd7a08c457f260ebb8860e60,2026-06-01,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/synth/ctx-negation-canary,b3864129141b07dac29139d398f2de8cc4be8832,2026-07-06,no,3,yes,C:/Users/kapil/Documents/mz-canary-wt,#317,Product-Platform,KEEP — open PR #317 (tip on origin),origin (pushed)
claude/synth/gipr-phase2-evidence-grading,77625868b6e4348a46889ac8d6865ea637949ece,2026-07-07,no,1,no,C:/Users/kapil/Documents/mz-phase2-wt,-,Product-Platform,"PRESERVE(bundle)-then-review — LOCAL-ONLY, 1 unique commit(s) not on any remote",git bundle REQUIRED
claude/ux01-persona-foundation,cc698c48ce2ede9980693340b220fa28663be7b1,2026-06-01,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/ux03-provenance-panel,e64dc0ac4248941179bd098ebfc40ef96285299c,2026-06-01,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/v2-backlog-merge,b01a4bb49a8722b28854d17dd7d7eac16b504381,2026-05-09,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude/warroom-w1-scenario-state,e1dde692f1b907ffd4261dd71a134be9a817fb1e,2026-05-30,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
dash-update,2e3e3314c3941358cb3478e8cd1ceb2eb8931239,2026-06-11,no,2,yes,-,-,unknown,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
docs/coord-audit-reconcile,e1e858ec128d3d4d48a4f2c85a0f63541745b9c7,2026-06-15,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
docs/data-intel-strategy-audit,549c2a9954bc8d7793d2beb74c3ce125dd86625a,2026-06-15,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
docs/datahub-frontend-spec,dea8955f45f7196626473c5fb3d130ef67ccc550,2026-06-13,no,1,yes,-,-,Product-Platform(FE),"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
eval-exec,74defb3d7a321ef622a2cb47f2965ac03d1b0262,2026-06-14,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
feat/cycle1-sec-edgar-integration,252083a0607e6b0fa49200ad4de6e7dc4ebc5e6d,2026-04-29,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
feat/cycle10-uspto-patentsview,af2efd81a5d2b5cebca0fc3c5bd57e48e7b3cc55,2026-04-30,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
feat/cycle11-fda-purple-book,17cd0be83e5a9a0188e447ead8ed52e8e99e699c,2026-04-30,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
feat/cycle12-cms-asp-pricing,7be624c7ef0877d94d0a87c0364ccf68db1f83f7,2026-04-30,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
feat/cycle2-ctgov-diff-service,60e3b19609435e8e47292cc1174af4012c8aac15,2026-04-29,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
feat/cycle3-trial-acronym-aliases,8df94c892a99ec21df810f5a835465dab80d4843,2026-04-29,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
feat/cycle4-press-release-readout,bf1848fad39f8d2ee4b53d6222e3c3410206459b,2026-04-29,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
feat/cycle5-dailymed-spl-connector,eab2f300078588b8545690b17e8ddfbd841e8f1f,2026-04-29,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
feat/cycle6-spl-diff-service,91756c1ff916ab1ac95e9864404d15144a43a9d5,2026-04-29,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
feat/cycle7-ema-chmp-connector,1e68ec47ddaf2c50778daeddd0a05f224d5d24ae,2026-04-30,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
feat/cycle8-fda-designations,6dcecf931f09eccb351702f6141d625ceece7e4c,2026-04-30,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
feat/cycle9-fda-discontinuations,dc6bbbc801ec54f88b63dbfdc496dd1d946326b7,2026-04-30,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
feat/learning-f6-c6-c2,ef1cf76c302c5cb09563a1556b561809f28273ad,2026-06-05,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
main,77d1c6bb0e9e2a4bfa0d62c31cc93b8eb02a3c66,2026-06-14,yes,0,yes,C:/Users/kapil/Documents/mz-coord2,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
pr-247,b75d2d64af44c84e12178307d86065db19521483,2026-06-13,no,1,yes,-,-,unknown,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
pr240,36d38bb9e360a6c484b82102301a613e5339c3f3,2026-06-13,no,1,yes,-,-,unknown,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
pr241,314b694988795842b58c3c2f00617747eb322ee1,2026-06-13,no,2,yes,-,-,unknown,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
review-259,4fb5ae60198afb87f53f0d0177eb9c531ab2da5e,2026-06-13,no,1,yes,-,-,Product-Platform,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
review-285,1ce499ce46872b7190c3656baafbf6992a39bbc1,2026-06-15,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
review-290,c5a74d88ae0caf8ae882f986804375f7562c8446,2026-06-16,yes,0,yes,-,-,Product-Platform,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a0021544a2493eeb0,f6604e9c3c867174775269b8576928b18a2d4f1f,2026-06-24,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a01604eb,8dd272313803284048695fc96bca57618e28d532,2026-04-04,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a040715bbab1544c3,ca7d5bb3bcba928c185447f231ad2609d980d4ef,2026-06-16,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a0a8d598,d2d9b6b015d894eebafb1c35fe14671bdf00f7f7,2026-04-05,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a0bf2191,495d95671b97c271892f547134419f2d03b8bc1e,2026-03-28,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a0c57606527903f72,2bced2f9d2a1d499d1989ff78165646f1bf89caf,2026-06-13,no,2,yes,-,-,harness-ephemeral,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
worktree-agent-a132a4463a599cdb4,5f6ede819eb982eb6253ebefeb341cba33662009,2026-06-08,no,1,no,-,-,harness-ephemeral,"PRESERVE(bundle)-then-review — LOCAL-ONLY, 1 unique commit(s) not on any remote",git bundle REQUIRED
worktree-agent-a137d81c,279ed8b59b1309ab678b5bcd3de7413082a14deb,2026-04-05,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a143d8f0508a0af64,9b2a9922cbfc967789a0dfe43a4b8ac9df77743e,2026-06-06,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a160e1faa972b3343,4a57071bca6e3b97e0090a77fd2da07e1ba3f5a6,2026-06-05,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a16e34c3,495d95671b97c271892f547134419f2d03b8bc1e,2026-03-28,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a19bb2ec,648e7acd84bcc705c0224aaad9ca0e1ffc169304,2026-03-29,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a1cd2774,648e7acd84bcc705c0224aaad9ca0e1ffc169304,2026-03-29,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a1cf3f2e,279ed8b59b1309ab678b5bcd3de7413082a14deb,2026-04-05,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a24071fb,af422997676034da8e7cc6e335c0a4982824bfaf,2026-03-28,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a242e4b1900626b60,cf2cf7b783c28843ca15aac012c2e4fd079f8c37,2026-06-08,no,1,no,-,-,harness-ephemeral,"PRESERVE(bundle)-then-review — LOCAL-ONLY, 1 unique commit(s) not on any remote",git bundle REQUIRED
worktree-agent-a2ab0d7d18fdbb806,2daf48316fa02ce44af330560d2385cd4a054a17,2026-06-05,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a2edb57ba554d445c,507b22a7e3a4186983a925927f7522b0d29ad4e6,2026-06-15,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a3100928,495d95671b97c271892f547134419f2d03b8bc1e,2026-03-28,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a35eed26,4c66dc0e548ffaa700062a6fc4ab0e9b45f2dab0,2026-03-28,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a38a5b46,495d95671b97c271892f547134419f2d03b8bc1e,2026-03-28,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a3c45bf3,495d95671b97c271892f547134419f2d03b8bc1e,2026-03-28,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a3d3279273e3d4409,0f9ce75af220f757b9c646954d7f216d5fb80a5a,2026-06-24,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a3deed355fa5dcd45,027c8034242d9848578216236fa139a883a67ca3,2026-06-04,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a3e435bfd1ae868f0,ec46fb33cfd68dba0a19da1a674f0988de2e94dd,2026-06-06,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a4048e8354c66343d,983d4680f10cbdd081174a909b85096c2f22239f,2026-06-16,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a4b5a5dd,8dd272313803284048695fc96bca57618e28d532,2026-04-04,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a4b5a5dd,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a4bb5a1cc3405c4c9,741ebf0b6d52940bab1fbf2c4a30b3b966c2acd4,2026-06-06,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a4e89c065351e0952,a7ee278027283519a96301725b65a3fde0337ff3,2026-06-13,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a54060a69520099c8,3515d40ef5794db504e9a7910b8c2c9647cc95dc,2026-06-24,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a67f7481,7d6384b434baf54b275314656d0e5e9584beea80,2026-04-07,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a681a13b,a64125d3074050ea8333bbbaf487bf6a2459e6bc,2026-03-29,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a681a13b,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a6913b70,495d95671b97c271892f547134419f2d03b8bc1e,2026-03-28,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a6a09cbe,648e7acd84bcc705c0224aaad9ca0e1ffc169304,2026-03-29,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a6a09cbe,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a6f7561a,5a2c70081c8a034252eafa5e869036e7b7a7328a,2026-03-29,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a6f7561a,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
